2026-03-20 02:10:59 [INFO]  [costmap_client.cpp:73] Waiting for costmap to become available, topic: /tb3_3/map
2026-03-20 02:11:00 [INFO]  [explore.cpp:951] Loaded 3 initial AOA angles from parameter server.
2026-03-20 02:11:00 [INFO]  [explore.cpp:994] Sensor range = 3.500000
2026-03-20 02:11:00 [INFO]  [explore.cpp:995] min_frontier_size = 2.000000
2026-03-20 02:11:00 [INFO]  [explore.cpp:1007] Quadmap_width (world-meters), Quadmap_height (world-meters): 19.000000, 19.000000
2026-03-20 02:11:00 [INFO]  [explore.cpp:1008] map_resolution__ 0.150000
2026-03-20 02:11:00 [INFO]  [explore.cpp:1034] **********************Robot map coord: 39, 79
2026-03-20 02:11:00 [INFO]  [explore.cpp:1035] **********************Map limits: 26, 172, 39, 145
2026-03-20 02:11:00 [INFO]  [explore.cpp:1042] width, height: 126.666664, 126.666664
2026-03-20 02:11:00 [INFO]  [explore.cpp:1046] map_center_x, map_center_y: 99.000000, 92.000000
2026-03-20 02:11:00 [INFO]  [explore.cpp:1050] cell_count : 36.000000
2026-03-20 02:11:00 [INFO]  [explore.cpp:1061] Waiting to connect to move_base server
2026-03-20 02:11:00 [INFO]  [explore.cpp:1063] Connected to move_base server
2026-03-20 02:11:01 [INFO]  [explore.cpp:1163]  ========= Deque size : 0 ======== 
2026-03-20 02:11:01 [INFO]  [explore.cpp:1377] Not sufficient pose history
2026-03-20 02:11:07 [INFO]  [explore.cpp:333] === Entered SensingCallbackFilter ===
2026-03-20 02:11:07 [INFO]  [explore.cpp:1163]  ========= Deque size : 299 ======== 
2026-03-20 02:11:07 [INFO]  [explore.cpp:1377] Not sufficient pose history
2026-03-20 02:11:07 [INFO]  [explore.cpp:333] === Entered SensingCallbackFilter ===
2026-03-20 02:11:13 [INFO]  [explore.cpp:1163]  ========= Deque size : 598 ======== 
2026-03-20 02:11:13 [INFO]  [explore.cpp:1377] Not sufficient pose history
2026-03-20 02:11:13 [INFO]  [explore.cpp:333] === Entered SensingCallbackFilter ===
2026-03-20 02:11:13 [INFO]  [explore.cpp:358] Current pose (x, y, heading): 0.00, -0.01, 2.46
2026-03-20 02:11:13 [INFO]  [explore.cpp:372] Got relative measurements for Robot ID 1
2026-03-20 02:11:13 [INFO]  [explore.cpp:382] Using Own SLAM Pose
2026-03-20 02:11:13 [INFO]  [explore.cpp:410] Selecting measurements
2026-03-20 02:11:13 [INFO]  [explore.cpp:419] Measurement iterator = 0
2026-03-20 02:11:13 [INFO]  [explore.cpp:422] Initialized for robot id: 1
2026-03-20 02:11:13 [INFO]  [explore.cpp:423] Initialized angle for 90.000000
2026-03-20 02:11:13 [INFO]  [explore.cpp:426] Initialized angle updated
2026-03-20 02:11:13 [INFO]  [explore.cpp:447] Workaround for range measurements
2026-03-20 02:11:13 [INFO]  [explore.cpp:470] Own pose when relative measurements obtained (x, y, heading): 0.00, 0.01, 2.37
2026-03-20 02:11:13 [INFO]  [explore.cpp:474] Range (meter): 6.15, Raw AOA (degrees): 90.00, Adjusted AOA top peak (degrees): 92.37
2026-03-20 02:11:13 [INFO]  [explore.cpp:490] Own position (world): 0.00, 0.01 (ID: 3)
2026-03-20 02:11:13 [INFO]  [explore.cpp:494] Own position (map): 39, 79
2026-03-20 02:11:13 [INFO]  [explore.cpp:507] Creating track for Robot ID 1
2026-03-20 02:11:13 [INFO]  [explore.cpp:524] First estimate (world x_j, y_j) = -0.254154, 6.154548
2026-03-20 02:11:13 [INFO]  [state_filter.cpp:221] Obtained bearing measurements size 1
2026-03-20 02:11:13 [INFO]  [state_filter.cpp:228] Angle_measured (deg): 92.416110, d2: 0.224536
2026-03-20 02:11:13 [INFO]  [state_filter.cpp:253] Angle_pred (deg): 87.926410, Angle_measured (deg): 92.416110, residuals: 0.078320, probs: 0.999701
2026-03-20 02:11:13 [INFO]  [explore.cpp:564] **** getSizeInCellsX, getSizeInCellsY: 224, 160 **** 
2026-03-20 02:11:13 [INFO]  [explore.cpp:565] Estimate in map: (37, 120)
2026-03-20 02:11:13 [INFO]  [explore.cpp:589] Inserted in Quadmap
2026-03-20 02:11:13 [INFO]  [explore.cpp:609] -----finished-----
2026-03-20 02:11:13 [INFO]  [explore.cpp:642] === Exited SensingCallbackFilter ===
2026-03-20 02:11:19 [INFO]  [explore.cpp:1163]  ========= Deque size : 601 ======== 
2026-03-20 02:11:19 [INFO]  [explore.cpp:1166] Got sufficient history
2026-03-20 02:11:19 [INFO]  [frontier_search.cpp:407] Total Frontiers before splitting = 2
2026-03-20 02:11:19 [INFO]  [frontier_search.cpp:446] Total Frontiers after splitting = 4
2026-03-20 02:11:19 [INFO]  [explore.cpp:1202] ******* REACHED 3/4th to goal ---  REVAULATING ALL FRONTIERS ******************
2026-03-20 02:11:19 [INFO]  [explore.cpp:1212] Last progress time: 1773987079.881486
2026-03-20 02:11:19 [INFO]  [explore.cpp:1217] frontier 0 centroid distance before: 3.652739 meters
2026-03-20 02:11:19 [INFO]  [explore.cpp:1226] Path received with 52 poses
2026-03-20 02:11:19 [INFO]  [explore.cpp:1234] frontier 0 centroid distance after: 3.782700 meters
2026-03-20 02:11:19 [INFO]  [explore.cpp:1235] *****************************************************************************
2026-03-20 02:11:19 [INFO]  [explore.cpp:1217] frontier 1 centroid distance before: 3.603124 meters
2026-03-20 02:11:19 [INFO]  [explore.cpp:1226] Path received with 49 poses
2026-03-20 02:11:19 [INFO]  [explore.cpp:1234] frontier 1 centroid distance after: 3.584247 meters
2026-03-20 02:11:19 [INFO]  [explore.cpp:1235] *****************************************************************************
2026-03-20 02:11:19 [INFO]  [explore.cpp:1217] frontier 2 centroid distance before: 3.511410 meters
2026-03-20 02:11:19 [INFO]  [explore.cpp:1226] Path received with 49 poses
2026-03-20 02:11:19 [INFO]  [explore.cpp:1234] frontier 2 centroid distance after: 3.552983 meters
2026-03-20 02:11:19 [INFO]  [explore.cpp:1235] *****************************************************************************
2026-03-20 02:11:19 [INFO]  [explore.cpp:1217] frontier 3 centroid distance before: 3.370831 meters
2026-03-20 02:11:19 [INFO]  [explore.cpp:1226] Path received with 46 poses
2026-03-20 02:11:19 [INFO]  [explore.cpp:1234] frontier 3 centroid distance after: 3.486678 meters
2026-03-20 02:11:19 [INFO]  [explore.cpp:1235] *****************************************************************************
2026-03-20 02:11:19 [INFO]  [frontier_search.cpp:522] ##############################################################
2026-03-20 02:11:19 [INFO]  [frontier_search.cpp:545] ***************************************************
2026-03-20 02:11:19 [INFO]  [frontier_search.cpp:554] BetaParam : 1.583562
2026-03-20 02:11:19 [INFO]  [frontier_search.cpp:560] Frontier viewpoint world pos: 3.425000, 1.175001
2026-03-20 02:11:19 [INFO]  [frontier_search.cpp:561] Frontier viewpoint map pos: 62, 87
2026-03-20 02:11:19 [INFO]  [frontier_search.cpp:562] Frontier centroid index= 19550
2026-03-20 02:11:19 [INFO]  [frontier_search.cpp:563] Size of frontier: 3.600000 meters 
2026-03-20 02:11:19 [INFO]  [frontier_search.cpp:583] Neighboring robot positions around the frontier = 1
2026-03-20 02:11:19 [INFO]  [frontier_search.cpp:586] Neighbor (est_mx,est_my): (37,120), Omega(uncertainty trace): 1.000000
2026-03-20 02:11:19 [INFO]  [frontier_search.cpp:598] Info gain = 329.930206
2026-03-20 02:11:19 [INFO]  [frontier_search.cpp:599] Info loss at the frontier (percent) = 0.000004
